STATUS;FROM;TO
OK;18620;18640
OK;18660;18680
OK;18680;18700
OK;18700;18720
OK;18380;18400
OK;18600;18620
OK;18740;18760
OK;18720;18740
OK;18320;18340
OK;18800;18820
OK;18820;18840
OK;18760;18780
OK;18860;18880
OK;18880;18900
OK;18780;18800
OK;18900;18920
OK;18840;18860
OK;18960;18980
OK;18940;18960
OK;18920;18940
OK;18980;19000
OK;13000;13020
OK;13040;13060
OK;13020;13040
OK;13080;13100
OK;13140;13160
OK;13060;13080
OK;13100;13120
OK;13120;13140
OK;13160;13180
OK;13200;13220
OK;13240;13260
OK;13180;13200
OK;13300;13320
OK;13280;13300
OK;13220;13240
OK;13260;13280
OK;13340;13360
OK;13320;13340
OK;13400;13420
OK;13380;13400
OK;13440;13460
OK;13420;13440
OK;13480;13500
OK;13360;13380
OK;13500;13520
OK;13460;13480
OK;13520;13540
OK;13540;13560
OK;13600;13620
OK;13580;13600
OK;13640;13660
OK;13660;13680
OK;13620;13640
OK;13560;13580
OK;13680;13700
OK;13700;13720
OK;13760;13780
OK;13720;13740
OK;13740;13760
OK;13800;13820
OK;13780;13800
OK;13860;13880
OK;13900;13920
OK;13820;13840
OK;13940;13960
OK;13840;13860
OK;13880;13900
OK;13920;13940
OK;13980;14000
OK;13960;13980
OK;19020;19040
OK;19000;19020
OK;19080;19100
OK;19120;19140
OK;19040;19060
OK;19060;19080
OK;19140;19160
OK;19180;19200
OK;19100;19120
OK;19220;19240
OK;19160;19180
OK;19280;19300
OK;19240;19260
OK;19260;19280
OK;19200;19220
OK;19300;19320
OK;19340;19360
OK;19380;19400
OK;19320;19340
OK;19360;19380
OK;19400;19420
OK;19440;19460
OK;19420;19440
OK;19460;19480
OK;19540;19560
OK;19480;19500
OK;19520;19540
OK;19560;19580
OK;19580;19600
OK;19620;19640
OK;19600;19620
OK;19500;19520
OK;19660;19680
OK;19680;19700
OK;19720;19740
OK;19640;19660
OK;19700;19720
OK;19780;19800
OK;19760;19780
OK;19840;19860
OK;19740;19760
OK;19880;19900
OK;19860;19880
OK;19900;19920
OK;19820;19840
OK;19940;19960
OK;19920;19940
OK;19800;19820
OK;19960;19980
OK;19980;20000
OK;14000;14020
OK;14060;14080
OK;14080;14100
OK;14020;14040
OK;14140;14160
OK;14040;14060
OK;14120;14140
OK;14100;14120
OK;14220;14240
OK;14160;14180
OK;14180;14200
OK;14260;14280
OK;14200;14220
OK;14280;14300
OK;14300;14320
OK;14320;14340
OK;14340;14360
OK;14360;14380
OK;14240;14260
OK;14400;14420
OK;14420;14440
OK;14440;14460
OK;14460;14480
OK;14480;14500
OK;14380;14400
OK;14500;14520
OK;14580;14600
OK;14520;14540
OK;14560;14580
OK;14600;14620
OK;14640;14660
OK;14540;14560
OK;14660;14680
OK;14700;14720
OK;14760;14780
OK;14620;14640
OK;14720;14740
OK;14680;14700
OK;14740;14760
OK;14840;14860
OK;14820;14840
OK;14780;14800
OK;14880;14900
OK;14860;14880
OK;14800;14820
OK;14900;14920
OK;14920;14940
OK;14960;14980
OK;14980;15000
OK;14940;14960
OK;20040;20060
OK;20020;20040
OK;20120;20140
OK;20060;20080
OK;20080;20100
OK;20100;20120
OK;20000;20020
OK;20160;20180
OK;20220;20240
OK;20200;20220
OK;20180;20200
OK;20240;20260
OK;20320;20340
OK;20280;20300
OK;20140;20160
OK;20260;20280
OK;20300;20320
OK;20380;20400
OK;20400;20420
OK;20340;20360
OK;20440;20460
OK;20420;20440
OK;20500;20520
OK;20360;20380
OK;20460;20480
OK;20540;20560
OK;20480;20500
OK;20580;20600
OK;20520;20540
OK;20560;20580
OK;20600;20620
OK;20640;20660
OK;20620;20640
